feature,importance_mean,importance_std
vgrf_peak_mean,0.009846213244858992,0.000700100972694177
vgrf_right_9,0.005030175324155084,0.0003597104570259514
vgrf_right_10,0.004745111894321474,0.00021100993863314648
vgrf_right_14,0.0046346206952397,0.0003494619028747858
vgrf_right_11,0.0046025203238772685,0.00038689456951053594
vgrf_right_12,0.004590752491667072,0.0003564833366056879
vgrf_right_13,0.004552416098835765,0.0001327890981021818
vgrf_right_8,0.004199064234955885,0.00029308793078655995
vgrf_right_15,0.004126912074875122,0.0005001836095230029
vgrf_right_82,0.00400274645875911,0.00024095876682997915
vgrf_right_7,0.0039243642233757646,0.000254561201009443
vgrf_right_83,0.003843312245149533,0.0004511011495739216
vgrf_right_17,0.0038269521888131264,0.0002276703847274876
vgrf_right_85,0.0038233910488308263,0.0007156113062035644
vgrf_right_18,0.0037593064618588246,0.0002978030120297095
vgrf_right_79,0.003737908779889021,0.00039967157900674125
vgrf_right_84,0.003731436650537878,0.00042748220952689667
vgrf_right_16,0.0037251806106743945,0.00026545670255532627
vgrf_right_80,0.0036916502718403075,0.00037943948668305944
vgrf_right_19,0.0036142730467864093,0.0003796318997363506
vgrf_right_81,0.0035415217122428235,0.00020026272566143016
vgrf_right_77,0.0035042139769978498,0.0003180421718635229
vgrf_left_82,0.003456211617800742,0.000483664131636426
vgrf_right_78,0.003362327956182143,0.0004036891237920878
vgrf_right_6,0.003328891687900315,0.0004979858952422541
vgrf_right_86,0.0032120154646290144,0.00031776224184474613
vgrf_right_88,0.0031525888514519094,0.00029266592322138845
vgrf_right_87,0.00312255424655099,0.00033973169458592753
vgrf_left_85,0.003109738242700777,0.0003291670149088707
vgrf_left_81,0.0030725526405127822,0.0004623189727396209
vgrf_left_83,0.0030701854128558858,0.0003139331854652061
vgrf_right_75,0.0029554081443603497,0.0003148034839665954
vgrf_left_87,0.0029399134677220882,0.00032374141819055776
vgrf_left_84,0.0029287095018592836,0.00024813296368057927
vgrf_right_20,0.0029121890614340895,0.00021710630708190993
vgrf_left_86,0.0028699934200544287,0.0005066657962397341
vgrf_right_21,0.002860439442494034,0.00036366365379934026
vgrf_left_9,0.002854222848806276,0.00018445796763064297
vgrf_right_76,0.0028027107870599367,0.00030066394403211355
vgrf_right_89,0.002724105135765731,0.00033675415138008667
vgrf_left_80,0.0027189535381819674,0.00039756071443588
vgrf_left_8,0.002682210549628472,0.00024935530470329367
vgrf_left_11,0.002631775882019438,0.00023970231317932823
vgrf_right_90,0.0026211007961196796,0.00010438386151600336
vgrf_left_14,0.002607903690356772,0.0003474286380431689
vgrf_left_88,0.002594457346024037,0.00025797729572427883
vgrf_left_79,0.0025432437013138244,0.00033351336821715974
vgrf_right_22,0.0024861822458673855,0.00021027365455701278
vgrf_left_89,0.0024053744330658987,0.0004544438260618065
vgrf_left_78,0.002376777807793462,0.0004103141961695725
vgrf_left_12,0.0023681316554870157,0.0003252105918802264
vgrf_left_13,0.002363635948585752,0.00018832658375903514
vgrf_right_74,0.0023625295642201614,0.00029175307890603916
vgrf_right_5,0.002354282919168238,0.0002791541213628283
vgrf_left_77,0.0023383476993701358,0.00026311832675538226
vgrf_left_6,0.002316177706138456,0.0005556275125458681
vgrf_left_90,0.002217030166143763,0.00034049710078406945
vgrf_right_91,0.0022166885177900887,0.0003210029455819244
vgrf_left_76,0.002207178146888045,0.00031608706929800857
vgrf_left_10,0.0021928168023892304,0.00027294937642062116
