true_label,Ankle,Calcaneus,Healthy,Hip,Knee
Ankle,1261,1085,405,631,754
Calcaneus,877,1257,128,355,470
Healthy,146,127,977,132,146
Hip,444,446,297,632,575
Knee,724,599,499,748,1291
