model,balanced_accuracy,macro_f1,support,used_sklearn
dummy,0.2,0.08642775049629088,15006,True
logistic_regression,0.36385080230393174,0.3240103808852433,15006,True
random_forest,0.39731473267816647,0.3538852651714162,15006,True
gradient_boosting,0.3899671901205119,0.3690131007687767,15006,True
