true_label,Ankle,Calcaneus,Healthy,Hip,Knee
Ankle,4136,0,0,0,0
Calcaneus,3087,0,0,0,0
Healthy,1528,0,0,0,0
Hip,2394,0,0,0,0
Knee,3861,0,0,0,0
