true_label,Ankle,Calcaneus,Healthy,Hip,Knee
Ankle,948,1520,455,656,557
Calcaneus,569,1654,235,405,224
Healthy,142,193,1045,72,76
Hip,394,649,328,700,323
Knee,416,890,835,773,947
