,label,precision,recall,f1,support
0,Ankle,0.3652954808806489,0.30488394584139267,0.33236689509752243,4136
1,Calcaneus,0.3577120091064314,0.4071914480077745,0.3808513861536131,3087
2,Healthy,0.42367736339982653,0.6393979057591623,0.5096504955659885,1528
3,Hip,0.2530024019215372,0.26399331662489556,0.25838103025347503,2394
4,Knee,0.3989493201483313,0.33436933436933436,0.36381569677328446,3861
