true_label,Ankle,Calcaneus,Healthy,Hip,Knee
Ankle,1031,1204,461,624,816
Calcaneus,561,1515,198,495,318
Healthy,120,126,956,117,209
Hip,315,551,439,609,480
Knee,556,682,1110,744,769
