model,balanced_accuracy,macro_f1,support,used_sklearn,optimal_threshold,feature_set
dummy,0.24784603272485617,0.16878739377210647,18577,True,,gait-only
logistic_regression,0.45202902485883256,0.4415352829503695,18577,True,,gait-only
random_forest,0.4454170908931022,0.44057005868532,18577,True,,gait-only
dummy,0.24784603272485617,0.16878739377210647,18577,True,,covariate-only
logistic_regression,0.3336354913779143,0.31811296303174963,18577,True,,covariate-only
random_forest,0.3308442573814411,0.3171161387514369,18577,True,,covariate-only
dummy,0.24784603272485617,0.16878739377210647,18577,True,,gait+covariate
logistic_regression,0.47609603156861624,0.46430575389218487,18577,True,,gait+covariate
random_forest,0.4529444934741959,0.4455436646280017,18577,True,,gait+covariate
