,precision,recall,f1-score,support
H_C,0.4319286871961102,0.42776886035313,0.42983870967741933,1246.0
H_F,0.5711645101663586,0.596909207984546,0.5837531486146096,1553.0
H_P,0.3425,0.29912663755458513,0.31934731934731936,458.0
accuracy,0.49032852318084125,0.49032852318084125,0.49032852318084125,0.49032852318084125
macro avg,0.44853106578748964,0.44126823529742043,0.4443130592131161,3257.0
weighted avg,0.485743515055176,0.49032852318084125,0.4876907412703793,3257.0
