,precision,recall,f1-score,support
K_F,0.6426129889859475,0.6759888134238913,0.6588785046728972,2503.0
K_P,0.21908127208480566,0.290625,0.24983210208193418,640.0
K_R,0.4540441176470588,0.3461807988787666,0.39284294234592443,1427.0
accuracy,0.5190371991247265,0.5190371991247265,0.5190371991247265,0.5190371991247265
macro avg,0.438579459572604,0.43759820410088596,0.4338511830335852,4570.0
weighted avg,0.5244186611484585,0.5190371991247265,0.5185234838635304,4570.0
