,precision,recall,f1-score,support
A_F,0.6580703883495146,0.7148978246539223,0.6853080568720379,3034.0
A_L,0.29204339963833637,0.2665016501650165,0.2786885245901639,1212.0
A_O,0.03361344537815126,0.021164021164021163,0.025974025974025976,189.0
A_R,0.037267080745341616,0.024291497975708502,0.029411764705882353,247.0
accuracy,0.53438701409654,0.53438701409654,0.53438701409654,0.53438701409654
macro avg,0.25524857852783595,0.2567137484896671,0.2548455930355275,4682.0
weighted avg,0.505360971536664,0.53438701409654,0.5188314679932691,4682.0
