,precision,recall,f1-score,support
A_F,0.6845203060623897,0.7666446934739618,0.7232587064676617,3034.0
A_Ligament,0.35342465753424657,0.26525017135023987,0.303054032889585,1459.0
accuracy,0.6038281771644781,0.6038281771644781,0.6038281771644781,0.6038281771644781
macro avg,0.5189724817983181,0.5159474324121008,0.5131563696786233,4493.0
weighted avg,0.5770044923070902,0.6038281771644781,0.5868067548205631,4493.0
