feature,importance_mean,importance_std
cop_path_length_mean,0.12557276765486403,0.00531067693124127
loading_rate_sym,0.029353526385917327,0.004453864891736129
vgrf_peak_diff,0.026647264963480844,0.0023569983294008646
loading_rate_mean,0.020655492563176538,0.0022726087776903004
loading_rate_max,0.01936667450383047,0.00433062904371203
vgrf_peak_max,0.012490778206006059,0.002982289535826442
cop_ap_range_mean,0.007105951387569753,0.0024356202391006753
ap_braking_impulse_mean,0.0035117465651041124,0.0022173226931111335
cop_ml_range_sym,0.0024151056183181916,0.0016873184881729553
vgrf_peak_mean,0.0019963883860050656,0.001590341513744902
push_off_index,0.001100213261831895,0.0011522097391833265
ap_propulsion_impulse_mean,0.0008158209674829608,0.00041847833525500677
vgrf_right_22,0.000687725393027816,0.0004989954822191546
vgrf_right_24,0.0005740719931308202,0.0004448822013408987
vgrf_left_84,0.0005231019171112905,0.0016352786754325426
vgrf_right_20,0.0005161136943264033,0.0010786036697307752
vgrf_left_82,0.000465623541575666,0.001423089261645325
vgrf_right_7,0.00040218400709859383,0.00022950242652676253
vgrf_left_81,0.0003494645644579908,0.0009490137423858142
vgrf_left_6,0.0003465523462785391,0.0007107885545515527
vgrf_left_59,0.0003447283774572707,0.000334594735334413
vgrf_right_5,0.00028858878745359197,0.0005127810665977356
vgrf_right_25,0.0002885817093956744,0.0005732823306296109
vgrf_right_50,0.00028856856110999197,0.0006281327614030729
vgrf_right_3,0.0002870203864817178,0.00018089555318677843
vgrf_right_4,0.00028679025563729257,0.00047934067904972766
vgrf_right_6,0.00023033009033803786,0.0004925347497447049
vgrf_left_8,0.00022980872185573986,0.00011490436092786993
vgrf_right_54,0.00017471589304574042,0.0002918269634747701
vgrf_right_23,0.00017290164666123876,0.00076061198212166
vgrf_left_21,0.00011784823633127494,0.0006693518078612602
vgrf_left_22,0.00011674321149723887,0.000590237207696795
vgrf_right_56,0.00011671523904857039,0.0005902065517277365
vgrf_left_73,0.00011542863167213202,0.0005310913216939493
vgrf_left_45,0.00011515395251797678,0.00014052547491434539
vgrf_right_42,0.00011490436092786993,0.0001407285267469368
vgrf_left_18,6.096910354962404e-05,0.000664212387319607
vgrf_left_4,5.873212269269512e-05,0.0006390278959357785
vgrf_left_1,5.745630775892963e-05,0.00021495975707983957
vgrf_right_90,5.745563894488104e-05,0.0006121508732202174
vgrf_right_21,5.6970327625860406e-05,0.0006121906655745343
vgrf_right_19,5.674771576120729e-05,0.0010477039174035551
vgrf_left_55,2.5847876453877206e-06,0.0004059480906632155
vgrf_left_65,9.955859964660973e-07,0.000479801949908849
vgrf_left_2,7.446190823490185e-07,0.0003137750233985494
vgrf_right_2,4.922471282142737e-07,0.00025638373106270544
vgrf_right_1,4.1272949946602465e-09,0.00018167322105300813
vgrf_left_100,0.0,0.0
vgrf_left_44,0.0,0.0
vgrf_right_100,0.0,0.0
vgrf_right_8,0.0,0.0
vgrf_left_0,0.0,0.0
vgrf_right_0,0.0,0.0
vgrf_right_96,-9.128670818592255e-07,0.00031360168040025057
vgrf_left_20,-5.316574254203843e-05,0.0003354183048805112
vgrf_left_17,-5.431817138026318e-05,0.0004934972800476851
vgrf_right_28,-5.6662373950588926e-05,0.0005557270156338118
vgrf_left_32,-5.693083312969804e-05,0.0002151171904878998
vgrf_right_29,-5.695101923395285e-05,0.0005561745623012085
vgrf_right_65,-5.720538808580144e-05,0.0002810037346779276
vgrf_left_98,-5.7443925873945646e-05,0.0002149575509478681
vgrf_left_99,-5.74480531689403e-05,0.0001148961063378806
vgrf_left_67,-5.74480531689403e-05,0.0001148961063378806
vgrf_left_19,-0.00011199571828708343,0.00034470717929868677
vgrf_right_52,-0.0001120827115881129,0.00042865517503619887
vgrf_right_59,-0.00011262125259006161,0.0006174919555632097
vgrf_right_27,-0.00011287655413174668,0.00046522342608562676
vgrf_left_60,-0.00011288404823455167,0.00022957859763066843
vgrf_left_62,-0.00011288893883159013,0.0004655533822509292
vgrf_right_49,-0.00011338460855061516,0.0006438693283677382
vgrf_left_53,-0.00011391015025541407,0.0002290689383446188
vgrf_left_41,-0.00011464651474777377,0.0001409229444235809
vgrf_left_40,-0.00011464998277377347,0.0002296183779870893
vgrf_left_39,-0.00011465344125474174,0.00029256031481036986
vgrf_right_99,-0.0001148961063378806,0.00014071841698018193
vgrf_right_55,-0.0001700527632990001,0.0005317810334623371
vgrf_left_3,-0.00017086384450069048,0.00029212395874139593
vgrf_left_30,-0.00017111207961479914,0.00029246509036287365
vgrf_left_72,-0.00017136035266958062,0.00046603814844705304
vgrf_left_35,-0.00017136444226935056,0.00022962862570714517
vgrf_left_38,-0.00017209256147392437,0.0004663768657184193
vgrf_left_87,-0.00022533010754179905,0.0006879884014950701
vgrf_left_85,-0.00022615420720013547,0.0008390206996650711
vgrf_right_47,-0.00022779398716852307,0.0002805477439936829
vgrf_left_64,-0.00022779673008748168,0.00021445448571397036
vgrf_right_44,-0.00022804496520159034,0.00021485316560470365
vgrf_left_63,-0.00022806226813743002,0.00028112084206016383
vgrf_left_5,-0.00022806366231007403,0.00028059607341219536
vgrf_left_47,-0.00022806643337451858,0.00021450666394225078
vgrf_left_57,-0.0002285531680817243,0.00011556017370145499
vgrf_right_43,-0.00022907035116339624,0.00033403011415377234
vgrf_left_13,-0.00022953789129807057,0.0003349336055165611
vgrf_right_66,-0.00022955021640664875,0.00011477606488860519
vgrf_left_43,-0.0002297922126757612,0.0001148961063378806
vgrf_left_14,-0.00023001560753534988,0.00033481336754963097
vgrf_right_82,-0.00028252645621140715,0.00097648043046415
vgrf_left_51,-0.0002847434880277833,0.0003627964774477535
vgrf_left_88,-0.00028499718032704013,0.000573823993983202
vgrf_right_38,-0.0002850000440683509,0.00025638794211360264
vgrf_left_58,-0.00028500351234730383,0.0003140058772719352
vgrf_right_48,-0.0002850069617769124,0.0003625859523450525
vgrf_right_40,-0.0002855220818644533,0.00018129230796125442
vgrf_right_91,-0.0002859622253951866,0.0008697342413967761
vgrf_left_66,-0.0002862702459331512,0.00044455282854109025
vgrf_left_42,-0.00028723616693790974,0.0001816602142849804
vgrf_left_10,-0.0002874254894675854,0.0006544259890970184
vgrf_right_88,-0.00034140000409470516,0.00042091577768047704
vgrf_left_25,-0.00034237606823581677,0.00033328924764710797
vgrf_right_26,-0.0003426851731768821,0.00021387420715173342
vgrf_left_56,-0.00034270113750085597,0.000584649956824839
vgrf_left_68,-0.0003427226061844646,0.00045847391183200165
vgrf_left_33,-0.00034296735466936567,0.0002144450891939338
vgrf_left_34,-0.0003434720892780296,0.0003341598203416995
vgrf_right_94,-0.0003436635428835322,0.0004199605127276847
vgrf_left_12,-0.0003439137976241513,0.000421315631142867
vgrf_left_71,-0.00034394781839028885,0.0004214531580124478
vgrf_right_98,-0.00034396924716824097,0.00021450593477693634
vgrf_right_41,-0.0003442071445305617,0.000281044282576997
vgrf_left_90,-0.00034464577045538735,0.0006110330710527112
vgrf_right_92,-0.0003448780716465372,0.0006630538184589709
vgrf_left_92,-0.0003457929488765332,0.0008576559000285737
vgrf_left_86,-0.00039566744874233175,0.0006674494692459516
vgrf_right_87,-0.00039882515356362005,0.0003893612494732605
vgrf_left_27,-0.0003988304235719387,0.0004665649874611363
vgrf_right_58,-0.00039887090129169244,0.000531198270730785
vgrf_left_54,-0.0003993956538633103,0.0002915485985669714
vgrf_left_61,-0.00039965621661919304,0.0002922302319826666
vgrf_right_30,-0.00040040035019064393,0.0006183016789529306
vgrf_left_7,-0.0004004340853549504,0.0004287400524264955
vgrf_left_46,-0.00040067608294573897,0.00038938859390924926
vgrf_left_96,-0.00040161785158923104,0.0005315628115177827
vgrf_left_36,-0.00040165518815857835,0.00022943531388522576
vgrf_right_89,-0.00040253299537698075,0.0003896406184489373
vgrf_left_80,-0.00045030236583818437,0.0014661411143633422
vgrf_left_16,-0.00045593565251342836,0.0008235728681576179
vgrf_right_53,-0.00045601932833225776,0.00039018517384642855
vgrf_right_61,-0.0004563307713036924,0.0004651533487542924
vgrf_right_64,-0.00045660091025867544,0.0003439410179502149
vgrf_left_24,-0.00045680263272473987,0.0006426799552440624
vgrf_left_89,-0.0004568595311121415,0.00029236802725981934
vgrf_right_35,-0.0004570332278958977,0.00013966620521430444
vgrf_right_57,-0.00045711608740421904,0.0005314539488617215
vgrf_left_52,-0.0004573482846821575,0.0004302239720250696
vgrf_left_28,-0.0004576297660727535,0.00022912376865202923
vgrf_right_39,-0.00045813658433475625,0.0001405249362129173
vgrf_right_16,-0.00045835715182591664,0.000388946095789714
vgrf_left_97,-0.00045933551258738883,0.00034362037051630855
vgrf_left_93,-0.00045976390071977846,0.00038932373624678116
vgrf_right_93,-0.0004597732944739974,0.0004656006188909825
vgrf_left_77,-0.0005132067229692838,0.000799119825092448
vgrf_left_26,-0.0005140330732621879,0.0002141975794321037
vgrf_right_62,-0.0005143262341465116,0.0004585065224711964
vgrf_left_23,-0.0005147979181260975,0.0006874847385355511
vgrf_left_49,-0.00051483233634948,0.0003344200026084423
vgrf_right_46,-0.000514833730270503,0.0007112938444502235
vgrf_right_45,-0.0005150737200969146,0.0002147568589673419
vgrf_left_37,-0.0005160735689534235,0.0003346098314512295
vgrf_right_18,-0.000516301100413763,0.00021508334058201035
cop_ml_range_mean,-0.0005207537047432042,0.0009655230275992297
vgrf_right_36,-0.0005712542474734849,0.0004802839181448902
vgrf_left_29,-0.0005722769966327145,0.0001816736026197122
vgrf_left_15,-0.000572481190074603,0.00031281528855227136
vgrf_right_69,-0.0005732753276026959,0.00036220697845221764
vgrf_right_97,-0.0005737545619644901,0.0003135696448208947
vgrf_left_83,-0.0006222006668167301,0.001136051131020111
vgrf_right_31,-0.0006281480760896186,0.0004916203533784367
vgrf_right_51,-0.0006289755364984329,0.0003340187305026134
vgrf_right_34,-0.0006292264861303299,0.00028075947479968237
vgrf_left_70,-0.0006294981881283191,0.0003343693965222174
vgrf_left_31,-0.0006304876608034693,0.0005845956575375172
vgrf_right_17,-0.0006307290073438665,0.0001142971336140256
vgrf_right_63,-0.0006861829312765133,0.0002289384862617521
vgrf_right_13,-0.000686650439445291,0.000692197872953169
vgrf_left_50,-0.0006869434795357288,0.0004656860630696683
vgrf_right_68,-0.0006876937365505542,0.00038889490589610854
vgrf_left_95,-0.0006895438164570722,0.00022910052395689324
vgrf_right_86,-0.0007424767730447535,0.0007620936238104521
vgrf_left_75,-0.0007436109303467608,0.0006930955700722524
vgrf_left_48,-0.0007441571131540537,0.00014052835847546
vgrf_right_60,-0.000744411549661983,0.0005317313607232893
vgrf_left_76,-0.0007968787249827303,0.0009661266815372527
vgrf_right_84,-0.0007986209268808109,0.0012732315982035714
vgrf_left_78,-0.0007987881512562911,0.0010759991179192755
vgrf_right_33,-0.0008010534119788027,0.0005567532313293
vgrf_right_37,-0.0008010907615459307,0.00033490239924822924
vgrf_left_69,-0.0008015975973355571,0.00033347098688425443
vgrf_right_70,-0.0008021044264622246,0.00021437438503505674
vgrf_right_67,-0.0008021119840879942,0.0004210460198044991
vgrf_right_15,-0.0008022590984194889,0.000613830828098615
cop_ap_range_sym,-0.0008565855672017841,0.0014284467861299954
vgrf_right_14,-0.0008607360611259995,0.0009246156453332179
vgrf_left_91,-0.0008611983790185907,0.0004789679271342602
vgrf_left_79,-0.0009119734524047019,0.0015073406280971945
vgrf_right_10,-0.0009174690927119755,0.0007348035122341231
vgrf_left_9,-0.000917957692513105,0.0007772400995692692
vgrf_left_11,-0.0009193118988741311,0.00042129922830533946
vgrf_right_81,-0.0009715221589945644,0.0005881344023299415
