model,balanced_accuracy,macro_f1,support,used_sklearn,optimal_threshold,feature_set
dummy,0.48190595613346,0.4335874580993427,3489,True,0.01,covariate-only
logistic_regression,0.7140334471685276,0.7138397090880315,3489,True,0.45,covariate-only
random_forest,0.7201047853510868,0.7196478724655895,3489,True,0.52,covariate-only
dummy,0.48190595613346,0.4335874580993427,3489,True,0.01,gait-only
logistic_regression,0.882832359872601,0.8824843338733369,3489,True,0.48000000000000004,gait-only
random_forest,0.8774364730591866,0.8757449132220614,3489,True,0.55,gait-only
dummy,0.48190595613346,0.4335874580993427,3489,True,0.01,gait+covariate
logistic_regression,0.8764558359984355,0.87545426909312,3489,True,0.5700000000000001,gait+covariate
random_forest,0.8653286374946177,0.8646551435069303,3489,True,0.49,gait+covariate
