,precision,recall,f1-score,support
A_F,0.5906968055296096,0.9643183897529735,0.7326227988878591,3279.0
A_L,0.0,0.0,0.0,425.0
A_FR,0.15789473684210525,0.005474452554744526,0.010582010582010581,548.0
A_FL,0.11176470588235295,0.014592933947772658,0.025815217391304348,1302.0
accuracy,0.5732805185451927,0.5732805185451927,0.5732805185451927,0.5732805185451927
macro avg,0.21508906206351697,0.24609644406387265,0.1922550067152935,5554.0
weighted avg,0.3905183270039408,0.5732805185451927,0.4396255873956987,5554.0
