feature,importance_mean,importance_std
cop_path_length_mean,0.11955641058996039,0.003987980351456246
loading_rate_sym,0.04371382974181433,0.001973691630563084
loading_rate_max,0.03150240034942022,0.004078618752715166
vgrf_peak_diff,0.029066792936355966,0.003132057265695575
loading_rate_mean,0.021768369540217037,0.0021739703570774066
cop_ap_range_mean,0.014982078474969528,0.002386213415672174
vgrf_peak_max,0.0110821943420091,0.0032994425223380913
vgrf_peak_mean,0.0034399472652210774,0.0011593681802798993
ap_braking_impulse_mean,0.003210704875218151,0.0007109573277733021
vgrf_left_84,0.0017765419751859745,0.0010932850809308328
ap_braking_impulse_sym,0.0015474680665492624,0.0008802582860407824
vgrf_right_12,0.0010307050665203875,0.0009349347326556499
cop_ml_range_mean,0.0009726481077837912,0.0011691942392262082
cop_ml_range_sym,0.0009176126281391417,0.00094887090638765
vgrf_right_11,0.0008587238870913838,0.0006533004047059658
vgrf_left_86,0.0006299135022333147,0.0003799356661104515
vgrf_right_8,0.00040062351241498817,0.0007386111275006845
vgrf_right_65,0.0002290995700999554,0.0002807888711629903
vgrf_right_13,0.00022827240012042173,0.0011083748133672072
vgrf_right_64,0.00011510490321828826,0.0004999107826849749
vgrf_left_12,0.00011456354609800102,0.00022909765768294727
vgrf_left_36,0.00011444817110823901,0.0001403701720886995
vgrf_left_47,0.00011444466728638414,0.00022927037264015705
vgrf_right_38,0.00011434656658537712,0.00022931942017570436
vgrf_left_14,5.7435549789786046e-05,0.00042062294958981693
vgrf_right_33,5.741284978437733e-05,0.0005844832685602255
vgrf_right_35,5.7400143493535616e-05,0.00028109593256642695
vgrf_right_26,5.721232476076921e-05,0.00045909883584801197
vgrf_left_34,5.717153138176112e-05,0.00021445941611075242
vgrf_left_71,5.717153138176112e-05,0.00021445941611075242
vgrf_right_40,5.70734306807541e-05,0.00021448565636929522
vgrf_left_80,5.6967905203708646e-05,0.0004930376988673929
vgrf_right_31,2.312779152191524e-07,0.0002563776932592458
vgrf_right_1,0.0,0.0
vgrf_left_30,0.0,0.0
vgrf_left_41,0.0,0.0
vgrf_left_0,0.0,0.0
vgrf_right_2,0.0,0.0
vgrf_right_66,0.0,0.0
vgrf_right_100,0.0,0.0
vgrf_left_100,0.0,0.0
vgrf_right_0,0.0,0.0
vgrf_left_45,0.0,0.0
vgrf_left_43,0.0,0.0
vgrf_left_44,0.0,0.0
vgrf_left_42,0.0,0.0
vgrf_left_51,-8.7061712239489e-08,0.0004054807370875427
vgrf_right_3,-9.513367125180138e-08,0.00031379368209178814
vgrf_left_40,-9.810070100702006e-08,1.9620140201404013e-07
vgrf_left_46,-1.0160452286189781e-07,0.00018127425176752042
vgrf_left_33,-1.9970522386891786e-07,0.00018127430296077462
vgrf_left_82,-2.7709362577788e-07,0.0014387920542342678
vgrf_right_30,-2.9051568171123423e-07,0.0004054153589371495
vgrf_left_37,-2.978059248759379e-07,0.00018127430106460192
vgrf_left_49,-2.978059248759379e-07,0.00018127430106460192
vgrf_right_67,-3.889084476460525e-07,0.000313972346963307
vgrf_left_87,-7.271591290214374e-07,0.0006282184703936194
vgrf_right_81,-5.626883377858327e-05,0.0007107726041067238
vgrf_right_62,-5.722264066634342e-05,0.0007116183125291411
vgrf_left_90,-5.726991458216979e-05,0.00011453982916433957
vgrf_right_6,-5.737474042748492e-05,0.00011474948085496984
vgrf_right_37,-5.737474042748492e-05,0.00011474948085496984
vgrf_left_39,-5.737474042748492e-05,0.00011474948085496984
vgrf_left_68,-5.74690547071377e-05,0.0002146565651866562
vgrf_right_88,-5.7476344950346814e-05,0.00021451372600397522
vgrf_left_38,-5.757094182949896e-05,0.00011465159000182331
vgrf_left_35,-5.757094182949896e-05,0.0001146515900018233
vgrf_left_23,-5.7619141488340905e-05,0.0005255497187676921
vgrf_left_48,-5.7672546352360854e-05,0.00021446128440273313
vgrf_right_9,-5.861387117576111e-05,0.0008580074406840316
vgrf_left_69,-0.00011453953719589016,0.00029233949030683167
vgrf_left_1,-0.00011474948085496984,0.00014053883817197164
vgrf_right_99,-0.00011474948085496984,0.00014053883817197164
vgrf_right_41,-0.00011483360394073383,0.00014044207526508294
vgrf_left_4,-0.00011493166715277336,0.0001403904777252801
vgrf_left_74,-0.00011503678478004264,0.0005901578604143904
vgrf_left_72,-0.00017191455075380447,0.0005315929867131068
vgrf_left_32,-0.0001720193954371396,0.00014045337862044768
vgrf_left_73,-0.00017210644767682304,0.00022950313781899774
vgrf_left_18,-0.00017211751497563376,0.0013637713285727438
vgrf_right_42,-0.00017211806123704765,0.0003886069884387842
vgrf_left_99,-0.00017212046316794627,0.00022949238503839765
vgrf_right_39,-0.00017212422128245474,0.00014053883817197164
vgrf_right_17,-0.00017212422128245474,0.00014053883817197164
vgrf_left_31,-0.00017212422128245474,0.00014053883817197164
vgrf_left_98,-0.00017212422128245474,0.00014053883817197164
vgrf_right_10,-0.0001735032944057302,0.0005900466417688873
vgrf_right_86,-0.00022817125221490374,0.0005563187635373198
vgrf_right_46,-0.00022871247104585545,0.00033424918859518765
vgrf_left_54,-0.00022906276042202744,0.0004929710469984252
vgrf_left_10,-0.00022913330049716406,0.001247920888297085
vgrf_left_24,-0.00022916727556419048,0.00021432264355302502
vgrf_left_60,-0.00022927703716977277,0.0008388063084670876
vgrf_right_34,-0.00022949223656560936,0.0003801997437104623
vgrf_right_98,-0.00022949520359543117,0.0002146705949916254
vgrf_left_2,-0.0002295933042964382,0.000214565783778187
vgrf_left_27,-0.00022995718705438596,0.0002144195640182047
vgrf_left_77,-0.00023014755502317463,0.0008581586510835335
vgrf_left_78,-0.0002302633184354974,0.0010159183894906595
vgrf_right_82,-0.0002853327427303487,0.001368068226810375
vgrf_right_60,-0.00028594846683369644,0.000653476139897876
vgrf_left_57,-0.00028595813994860555,0.0007897012472803847
vgrf_right_28,-0.0002863431866734878,0.0004438864570420781
vgrf_left_65,-0.00028642962686866726,0.00047967890207980694
vgrf_left_52,-0.0002864508948307032,0.0003139810076248465
vgrf_right_68,-0.00028666029233228587,0.0001814290952251572
vgrf_left_11,-0.000286746035260621,0.00040491686097514205
vgrf_right_36,-0.0002868699440229161,0.00018142891786940198
vgrf_left_70,-0.0002868699440229161,0.00018142891786940198
vgrf_left_50,-0.00028696829901655454,0.00031388979494766003
vgrf_left_26,-0.0002870588929539952,0.0001812738875870681
vgrf_left_28,-0.0002870591472466266,0.0003138898201566428
