model,balanced_accuracy,macro_f1,support,used_sklearn,optimal_threshold,feature_set
dummy,0.47289156626506024,0.4649472767459577,3652,True,0.01,covariate-only
logistic_regression,0.6380065717415115,0.634533723814507,3652,True,0.45,covariate-only
random_forest,0.7185104052573932,0.714402301666152,3652,True,0.6900000000000001,covariate-only
dummy,0.47289156626506024,0.4649472767459577,3652,True,0.01,gait-only
logistic_regression,0.7593099671412924,0.7586075508176048,3652,True,0.56,gait-only
random_forest,0.7968236582694415,0.7963506739150563,3652,True,0.51,gait-only
dummy,0.47289156626506024,0.4649472767459577,3652,True,0.01,gait+covariate
logistic_regression,0.7617743702081051,0.7613162269267244,3652,True,0.54,gait+covariate
random_forest,0.8441949616648412,0.8440981623058541,3652,True,0.55,gait+covariate
