subject_id,trial_id,emg_channel,torque_channel,lag_sec,sign_convention_verified,body_mass_normalized,side_mapping_scope
Sub15,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,-4.726562499828124,False,unknown,SIAT left-limb reference
Sub15,T01,sEMG: soleus,Kinetic: left ankle flexion torque,1.0656250032968755,False,unknown,SIAT left-limb reference
Sub16,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,-6.036458333515626,False,unknown,SIAT left-limb reference
Sub16,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,-3.0093749984375,False,unknown,SIAT left-limb reference
Sub16,T01,sEMG: soleus,Kinetic: left ankle flexion torque,4.251562496703127,False,unknown,SIAT left-limb reference
Sub17,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,8.175000006296877,False,unknown,SIAT left-limb reference
Sub17,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,-0.539583331250002,False,unknown,SIAT left-limb reference
Sub17,T01,sEMG: soleus,Kinetic: left ankle flexion torque,-0.6890624978125022,False,unknown,SIAT left-limb reference
Sub19,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,-0.6520833331874947,False,unknown,SIAT left-limb reference
Sub19,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,-0.6286458345624997,False,unknown,SIAT left-limb reference
Sub19,T01,sEMG: soleus,Kinetic: left ankle flexion torque,8.232812499750004,False,unknown,SIAT left-limb reference
Sub20,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,-2.2640625008437496,False,unknown,SIAT left-limb reference
Sub20,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,-2.205208334890626,False,unknown,SIAT left-limb reference
Sub20,T01,sEMG: soleus,Kinetic: left ankle flexion torque,-1.0338541687656253,False,unknown,SIAT left-limb reference
Sub21,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,3.416145829281249,False,unknown,SIAT left-limb reference
Sub21,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,0.6317708315156239,False,unknown,SIAT left-limb reference
Sub21,T01,sEMG: soleus,Kinetic: left ankle flexion torque,7.13333332603125,False,unknown,SIAT left-limb reference
Sub22,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,-1.8796874989531283,False,unknown,SIAT left-limb reference
Sub22,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,6.06562500690625,False,unknown,SIAT left-limb reference
Sub22,T01,sEMG: soleus,Kinetic: left ankle flexion torque,-0.15208333306249955,False,unknown,SIAT left-limb reference
Sub23,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,4.043749999265627,False,unknown,SIAT left-limb reference
Sub23,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,4.056250001203126,False,unknown,SIAT left-limb reference
Sub23,T01,sEMG: soleus,Kinetic: left ankle flexion torque,1.1046875040312507,False,unknown,SIAT left-limb reference
Sub24,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,-0.4833333351562503,False,unknown,SIAT left-limb reference
Sub24,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,1.3197916661875002,False,unknown,SIAT left-limb reference
Sub24,T01,sEMG: soleus,Kinetic: left ankle flexion torque,-0.4833333351562503,False,unknown,SIAT left-limb reference
Sub25,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,4.145833331265625,False,unknown,SIAT left-limb reference
Sub25,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,4.1442708311250005,False,unknown,SIAT left-limb reference
Sub25,T01,sEMG: soleus,Kinetic: left ankle flexion torque,2.9895833322031238,False,unknown,SIAT left-limb reference
Sub26,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,-4.539062497218751,False,unknown,SIAT left-limb reference
Sub26,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,-5.880729166078126,False,unknown,SIAT left-limb reference
Sub26,T01,sEMG: soleus,Kinetic: left ankle flexion torque,-3.2041666655000007,False,unknown,SIAT left-limb reference
Sub27,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,2.092708338265627,False,unknown,SIAT left-limb reference
Sub27,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,9.913541672000001,False,unknown,SIAT left-limb reference
Sub27,T01,sEMG: soleus,Kinetic: left ankle flexion torque,11.350520836906252,False,unknown,SIAT left-limb reference
Sub28,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,3.7874999999531234,False,unknown,SIAT left-limb reference
Sub28,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,3.7791666649531237,False,unknown,SIAT left-limb reference
Sub28,T01,sEMG: soleus,Kinetic: left ankle flexion torque,11.333854167968749,False,unknown,SIAT left-limb reference
Sub29,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,-4.824999997749999,False,unknown,SIAT left-limb reference
Sub29,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,6.8588541663281255,False,unknown,SIAT left-limb reference
Sub29,T01,sEMG: soleus,Kinetic: left ankle flexion torque,-2.968229162374999,False,unknown,SIAT left-limb reference
Sub30,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,1.7953125034374988,False,unknown,SIAT left-limb reference
Sub30,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,0.6635416679687491,False,unknown,SIAT left-limb reference
Sub30,T01,sEMG: soleus,Kinetic: left ankle flexion torque,3.0375000042812488,False,unknown,SIAT left-limb reference
