subject_id,trial_id,channel,peak_time,peak_phase_interval,emg_processing,torque_peak_definition
Sub04,T01,sEMG: semimembranosus,6.236458334578125,TO-MWF,rectified_envelope,
Sub04,T01,sEMG: upper tibialis anterior,7.13697916784375,MSE-TO,rectified_envelope,
Sub04,T01,sEMG: lower tibialis anterior,10.679166668531252,MSE-TO,rectified_envelope,
Sub04,T01,sEMG: lateral gastrocnemius,10.635937501671876,MSE-TO,rectified_envelope,
Sub04,T01,sEMG: medial gastrocnemius,4.04791666590625,MSF-MSE,rectified_envelope,
Sub04,T01,sEMG: soleus,8.321354169875,MSE-TO,rectified_envelope,
Sub05,T01,Kinetic: left hip adduction torque,12.011458334,HS-MSF,,maximum
Sub05,T01,Kinetic: left hip flexion torque,4.448437498765625,TO-MWF,,maximum
Sub05,T01,Kinetic: left knee flexion torque,11.35000000146875,MSE-TO,,maximum
Sub05,T01,Kinetic: left ankle flexion torque,6.88020833671875,HS-MSF,,maximum
Sub05,T01,Kinetic: right hip adduction torque,1.877083334453125,MSE-TO,,maximum
Sub05,T01,Kinetic: right hip flexion torque,10.916145838031252,MSF-MSE,,maximum
Sub05,T01,Kinetic: right knee flexion torque,1.2140625028125,MWF-HS,,maximum
Sub05,T01,Kinetic: right ankle flexion torque,12.161458334000002,MSF-MSE,,maximum
Sub05,T01,sEMG: tensor fascia lata,8.226562503859377,HS-MSF,rectified_envelope,
Sub05,T01,sEMG: rectus femoris,10.845312501656252,HS-MSF,rectified_envelope,
Sub05,T01,sEMG: vastus medialis,10.877604169875,HS-MSF,rectified_envelope,
Sub05,T01,sEMG: semimembranosus,9.617187503078126,HS-MSF,rectified_envelope,
Sub05,T01,sEMG: upper tibialis anterior,8.122916671,HS-MSF,rectified_envelope,
Sub05,T01,sEMG: lower tibialis anterior,7.345312501421875,MSF-MSE,rectified_envelope,
Sub05,T01,sEMG: lateral gastrocnemius,3.093229164390625,MSE-TO,rectified_envelope,
Sub05,T01,sEMG: medial gastrocnemius,1.80572916478125,MSF-MSE,rectified_envelope,
Sub05,T01,sEMG: soleus,11.273958337015626,MSF-MSE,rectified_envelope,
Sub06,T01,Kinetic: left hip adduction torque,0.7515625003125,MSE-TO,,maximum
Sub06,T01,Kinetic: left hip flexion torque,11.3708333358125,TO-MWF,,maximum
Sub06,T01,Kinetic: left knee flexion torque,9.315625002125,HS-MSF,,maximum
Sub06,T01,Kinetic: left ankle flexion torque,6.886979169421876,HS-MSF,,maximum
Sub06,T01,Kinetic: right hip adduction torque,5.713541667546876,MSE-TO,,maximum
Sub06,T01,Kinetic: right hip flexion torque,1.2848958303125,MWF-HS,,maximum
Sub06,T01,Kinetic: right knee flexion torque,5.713020834250001,MSE-TO,,maximum
Sub06,T01,Kinetic: right ankle flexion torque,10.756770835531253,MSF-MSE,,maximum
Sub06,T01,sEMG: tensor fascia lata,10.7218750026875,MSF-MSE,rectified_envelope,
Sub06,T01,sEMG: rectus femoris,11.900000003328126,MSF-MSE,rectified_envelope,
Sub06,T01,sEMG: vastus medialis,2.725520833515625,HS-MSF,rectified_envelope,
Sub06,T01,sEMG: semimembranosus,10.707812502125002,HS-MSF,rectified_envelope,
Sub06,T01,sEMG: upper tibialis anterior,10.527604170500002,MWF-HS,rectified_envelope,
Sub06,T01,sEMG: lower tibialis anterior,6.556250005750001,MWF-HS,rectified_envelope,
Sub06,T01,sEMG: lateral gastrocnemius,12.315104168843751,MSE-TO,rectified_envelope,
Sub06,T01,sEMG: medial gastrocnemius,12.313541668953128,MSE-TO,rectified_envelope,
Sub06,T01,sEMG: soleus,12.301562503125002,MSE-TO,rectified_envelope,
Sub07,T01,Kinetic: left hip adduction torque,3.054166668703125,MSE-TO,,maximum
Sub07,T01,Kinetic: left hip flexion torque,11.35364584125,MSE-TO,,maximum
Sub07,T01,Kinetic: left knee flexion torque,10.770312505750002,HS-MSF,,maximum
Sub07,T01,Kinetic: left ankle flexion torque,10.803645841250002,HS-MSF,,maximum
Sub07,T01,Kinetic: right hip adduction torque,2.970833333203125,MSE-TO,,maximum
Sub07,T01,Kinetic: right hip flexion torque,5.693229167781251,MWF-HS,,maximum
Sub07,T01,Kinetic: right knee flexion torque,4.49739583528125,MWF-HS,,maximum
Sub07,T01,Kinetic: right ankle flexion torque,5.178125002171876,MSE-TO,,maximum
Sub07,T01,sEMG: tensor fascia lata,7.550000004531251,MSF-MSE,rectified_envelope,
Sub07,T01,sEMG: rectus femoris,2.739062499015625,MSF-MSE,rectified_envelope,
Sub07,T01,sEMG: vastus medialis,7.38020833503125,HS-MSF,rectified_envelope,
Sub07,T01,sEMG: semimembranosus,2.547395834015625,MSF-MSE,rectified_envelope,
Sub07,T01,sEMG: upper tibialis anterior,7.802083337937502,MSE-TO,rectified_envelope,
Sub07,T01,sEMG: lower tibialis anterior,2.804166668703125,MSF-MSE,rectified_envelope,
Sub07,T01,sEMG: lateral gastrocnemius,0.59895833340625,MSE-TO,rectified_envelope,
Sub07,T01,sEMG: medial gastrocnemius,4.001562501406251,MSE-TO,rectified_envelope,
Sub07,T01,sEMG: soleus,11.329687505093752,MSE-TO,rectified_envelope,
Sub08,T01,Kinetic: left hip adduction torque,3.007812501796876,MSE-TO,,maximum
Sub08,T01,Kinetic: left hip flexion torque,6.855208331437501,MSE-TO,,maximum
Sub08,T01,Kinetic: left knee flexion torque,2.841145836296875,MSE-TO,,maximum
Sub08,T01,Kinetic: left ankle flexion torque,9.922395831546876,HS-MSF,,maximum
Sub08,T01,Kinetic: right hip adduction torque,4.038020837296876,MSE-TO,,maximum
Sub08,T01,Kinetic: right hip flexion torque,5.717708333937501,MWF-HS,,maximum
Sub08,T01,Kinetic: right knee flexion torque,4.038020837296876,MSE-TO,,maximum
Sub08,T01,Kinetic: right ankle flexion torque,2.957812501796875,MSE-TO,,maximum
Sub08,T01,sEMG: tensor fascia lata,2.78229167078125,MSF-MSE,rectified_envelope,
Sub08,T01,sEMG: rectus femoris,6.4645833333125,HS-MSF,rectified_envelope,
Sub08,T01,sEMG: vastus medialis,8.806770832375001,MSF-MSE,rectified_envelope,
Sub08,T01,sEMG: semimembranosus,2.726562504859375,MSF-MSE,rectified_envelope,
Sub08,T01,sEMG: upper tibialis anterior,6.509374998937501,MSF-MSE,rectified_envelope,
Sub08,T01,sEMG: lower tibialis anterior,6.599999998187501,MSF-MSE,rectified_envelope,
Sub08,T01,sEMG: lateral gastrocnemius,4.023958334484376,MSE-TO,rectified_envelope,
Sub08,T01,sEMG: medial gastrocnemius,1.725520835421875,MSE-TO,rectified_envelope,
Sub08,T01,sEMG: soleus,8.0723958320625,MSE-TO,rectified_envelope,
Sub09,T01,Kinetic: left hip adduction torque,5.019791667734376,TO-MWF,,maximum
Sub09,T01,Kinetic: left hip flexion torque,8.179687502453126,MSE-TO,,maximum
Sub09,T01,Kinetic: left knee flexion torque,10.2953124991875,HS-MSF,,maximum
Sub09,T01,Kinetic: left ankle flexion torque,8.954166669515626,HS-MSF,,maximum
Sub09,T01,Kinetic: right hip adduction torque,3.395833334250001,MSE-TO,,maximum
Sub09,T01,Kinetic: right hip flexion torque,1.4046875009375,MWF-HS,,maximum
Sub09,T01,Kinetic: right knee flexion torque,11.468749995765627,MWF-HS,,maximum
Sub09,T01,Kinetic: right ankle flexion torque,7.713020837953126,MSF-MSE,,maximum
Sub09,T01,sEMG: tensor fascia lata,7.930208335750001,MSE-TO,rectified_envelope,
Sub09,T01,sEMG: rectus femoris,7.472395836734377,HS-MSF,rectified_envelope,
Sub09,T01,sEMG: vastus medialis,7.472395836734377,HS-MSF,rectified_envelope,
Sub09,T01,sEMG: semimembranosus,9.035937499625,HS-MSF,rectified_envelope,
Sub09,T01,sEMG: upper tibialis anterior,11.888541665359377,MSF-MSE,rectified_envelope,
Sub09,T01,sEMG: lower tibialis anterior,6.336979171093751,TO-MWF,rectified_envelope,
Sub09,T01,sEMG: lateral gastrocnemius,8.079687502453126,MSE-TO,rectified_envelope,
Sub09,T01,sEMG: medial gastrocnemius,8.134895835421876,MSE-TO,rectified_envelope,
Sub09,T01,sEMG: soleus,10.926562497328126,MSE-TO,rectified_envelope,
Sub10,T01,Kinetic: left hip adduction torque,7.92395833665625,HS-MSF,,maximum
Sub10,T01,Kinetic: left hip flexion torque,10.507291666484376,MSE-TO,,maximum
