feature,importance_mean,importance_std
walking_speed,0.06743695934814505,0.002428571384214355
age,0.015848076189444928,0.0017914915463453642
cop_path_length_mean,0.012986012000795345,0.0019741789262589507
vgrf_peak_diff,0.007060213342365196,0.0007865823558207645
cop_ap_range_mean,0.006854536828947211,0.0009542658482292091
bmi,0.005847653672387776,0.0008150065533156694
cop_ml_range_mean,0.00511200658960913,0.0006711812722476354
shoe_size,0.004824624102366925,0.00041960456164329656
height,0.004628780359694873,0.00063581409969032
loading_rate_sym,0.003649879851699711,0.0007042477887610565
ap_propulsion_impulse_mean,0.0035157540506002725,0.0015292566981336953
vgrf_left_10,0.0034105621441931746,0.0004077257932209093
push_off_index,0.0033715760384147144,0.0009674229392297313
vgrf_right_8,0.0033133172591691905,0.0003965360414983793
vgrf_right_6,0.003166870305352365,0.0004364989311578019
vgrf_left_8,0.0030697085481845355,0.00036417893281040547
ap_braking_impulse_mean,0.0030223776298573092,0.000932373818841667
vgrf_right_7,0.002972062133227138,0.00035829131943221397
vgrf_right_10,0.0029720589924741025,0.00035837395002608774
vgrf_left_7,0.0029237032900153227,0.0008156601580577404
body_weight,0.002874910950808762,0.0003582559420333354
vgrf_left_14,0.0028260250024121137,0.0006281119173679467
vgrf_right_9,0.0028257339849164786,0.0004247663698229358
vgrf_left_15,0.002777240085540922,0.00033078793733358323
vgrf_right_17,0.002776835879566808,0.0005016608865051381
vgrf_left_11,0.002679832120000958,0.0005555130059799138
vgrf_left_9,0.002630952081102267,0.0004974206256902104
vgrf_left_12,0.002533411021340726,0.000628093007654629
vgrf_right_14,0.0025331373028294247,0.0003306432292250613
vgrf_left_13,0.0024851611715711376,0.0006608300137890827
vgrf_right_12,0.0024846358902016696,0.00044663523878785757
vgrf_right_11,0.0024844943400737394,0.00023821006696180132
vgrf_left_84,0.002435996457034917,0.00043560069125914803
vgrf_right_18,0.002435869983990946,0.00030843346473683045
vgrf_right_5,0.002435863199702748,0.00040754030245794337
vgrf_left_6,0.0024356015823888246,0.00037739495841268214
vgrf_right_19,0.0023877783057470346,0.00047284465110901885
vgrf_right_13,0.0023872295898693884,0.0001818702469499236
vgrf_right_20,0.0022413218421157622,0.0004723858847005113
