feature,importance_mean,importance_std
cop_path_length_mean,0.06258482883216476,0.005382262670594384
cop_ap_range_mean,0.025592125572371137,0.0025861803154700568
cop_ml_range_mean,0.02203690614250946,0.0012736630213894431
vgrf_peak_diff,0.01230902599546444,0.0018865753222799312
loading_rate_sym,0.0075337664398219765,0.002184525103687495
ap_propulsion_impulse_mean,0.007038230251452981,0.002230545808212268
ap_braking_impulse_mean,0.00592393098002415,0.0009192075460593372
push_off_index,0.005425159516859668,0.001339876039579333
vgrf_left_10,0.0047839870583085585,0.000938154428189951
vgrf_left_11,0.004738126165716672,0.0008547724157523917
vgrf_right_8,0.004644647247329203,0.000517587289985257
vgrf_right_11,0.00463714602640235,0.0007585916454101393
vgrf_right_9,0.004594035635456728,0.0009815534666056023
vgrf_left_17,0.004551852786450783,0.0008858397052778371
vgrf_right_7,0.004450725743065887,0.00062869087822679
vgrf_left_12,0.0044022086466055654,0.0007426775900951766
vgrf_left_8,0.004150385343693319,0.00072885397888854
vgrf_right_13,0.0041018996800542325,0.0007348357554192661
vgrf_left_9,0.004058042051415111,0.0005476399802381161
vgrf_left_13,0.004005509772867266,0.0007502679171420112
vgrf_right_10,0.003862115817361356,0.0006983027930554965
vgrf_left_14,0.003766481890044293,0.000716712827740266
vgrf_right_12,0.0037618905150854864,0.0006537901381896151
vgrf_left_19,0.003668192658056335,0.0008331978265274998
vgrf_right_6,0.003662789185356341,0.0004370037442365702
vgrf_left_82,0.0035732414350257537,0.0006476350283799599
ap_propulsion_impulse_sym,0.0035631820044010887,0.0005862025582981696
vgrf_right_14,0.0034675427771023283,0.0006794742945129334
vgrf_peak_mean,0.0034292510709353465,0.0008013006428448955
vgrf_right_83,0.003427799702604184,0.0005575485526195073
vgrf_left_79,0.003424385186107659,0.0006347167463614903
vgrf_right_15,0.0034224495201450322,0.0004923009742901173
vgrf_left_7,0.003413798908496424,0.000511732736686046
vgrf_left_16,0.0033813865025759337,0.0009338197951955984
vgrf_right_79,0.0033740121773590203,0.0007522819174605873
loading_rate_max,0.0033549876842244863,0.0009437867761075782
vgrf_left_18,0.0032796241302505357,0.0005703943807358229
vgrf_left_20,0.0032782660364322203,0.0005014595451631132
vgrf_right_84,0.003277615820397628,0.0005263930352078529
vgrf_right_5,0.003227143738645144,0.0004765672887909312
vgrf_left_15,0.0032251009841101075,0.0006806699255692015
vgrf_right_80,0.0031819928124992456,0.0004389630016779355
vgrf_left_83,0.0031341801013710533,0.00047269714843974645
vgrf_left_85,0.003133510150688035,0.0009697632424575098
vgrf_left_91,0.003128119482925529,0.0003229173818846579
vgrf_right_16,0.003082993813354884,0.0005482163765564257
vgrf_left_23,0.0030783669677717286,0.0003339862585477008
vgrf_left_81,0.003033938202017161,0.0005741915204205732
vgrf_left_78,0.0030298421895482265,0.0003631276797669095
vgrf_right_78,0.002934197132387517,0.0002661991546116895
vgrf_left_84,0.0028419547129848732,0.0009845937288848992
vgrf_right_82,0.002839894973264134,0.0006465148938967435
vgrf_right_85,0.002837237072989418,0.0006083749171113261
vgrf_left_21,0.0028345809044283852,0.0007022884008243839
vgrf_left_80,0.002788155713581442,0.0008860390387423688
vgrf_right_77,0.0027402744091162613,0.0007152929687315353
vgrf_right_86,0.002740273398449,0.00036237200602797263
vgrf_left_90,0.0027369219032757465,0.0006058098900867417
vgrf_left_86,0.0026944520564557094,0.00031143719313125526
vgrf_left_88,0.0026931100691714336,0.0005354268497273947
vgrf_right_4,0.002687822047406563,0.000875830452789877
vgrf_left_22,0.0026871076685460737,0.0007714390596428615
vgrf_right_18,0.0026432754261518808,0.0002842314959335262
vgrf_right_90,0.0026392986244349937,0.00028523571588855417
vgrf_right_20,0.002637969336882251,0.000585682579571897
vgrf_right_81,0.0025954724866140257,0.0005503871608581458
vgrf_left_87,0.0025941431718409236,0.0005927314732579042
vgrf_left_77,0.002594140007518941,0.00036805862110545824
vgrf_left_5,0.0025416573772027327,0.0003974140748142839
vgrf_left_92,0.0025357797218240386,0.0005894368742083416
vgrf_right_76,0.002494486452530098,0.00032432964205491584
vgrf_left_76,0.0024911991077171125,0.0003238105271646674
vgrf_left_89,0.0024905681479690635,0.0006643693417700964
vgrf_left_6,0.00248728610198381,0.0004729975238526282
vgrf_right_19,0.0024453895165670535,0.0009543798216488024
vgrf_right_89,0.0024447036051333804,0.0005591888667315282
vgrf_left_75,0.0023451013462667094,0.0003990911432796322
vgrf_right_17,0.002344437288421286,0.0005462059396871919
vgrf_right_46,0.0023405309797163596,0.0003959211443902526
vgrf_right_21,0.0022493998543503756,0.0005644948022277362
vgrf_right_88,0.0022487561222545695,0.0001835402062803254
vgrf_right_91,0.0021478558191778243,0.0001809221389829837
vgrf_left_93,0.002147852313482956,0.00035518614105934336
vgrf_right_74,0.0021006680645213826,0.000331562739368167
vgrf_right_47,0.002095504629397804,0.00032908377129145153
vgrf_left_94,0.001999817443232588,0.0004210248761364076
vgrf_right_75,0.0019591758633983993,0.00041242085051549753
vgrf_left_24,0.001957798945291689,0.00040805487415811474
vgrf_right_23,0.001955895919265216,0.0004119766822211774
cop_ap_range_sym,0.001954556344913905,0.00034613243427547357
vgrf_left_4,0.00195388637640046,0.0003082247309451452
loading_rate_mean,0.0019060767103726839,0.0005648554403978313
vgrf_right_44,0.0018045607751267846,0.00024513219205482567
vgrf_right_22,0.0017095313768663357,0.000489467717674407
vgrf_right_87,0.0017088676784287494,0.0005141615064545958
vgrf_right_43,0.0017062794446234264,0.00059758013011326
vgrf_right_42,0.0017043695675990288,0.0001543651302731051
vgrf_right_73,0.0016623053703626045,0.000286755699981298
vgrf_right_40,0.0016610271075936823,0.00045038518509387407
vgrf_right_93,0.0016597292163512023,0.00018438684098668004
vgrf_right_41,0.0016590715176116656,0.0004202227834838573
vgrf_right_25,0.0016099313258460147,0.0006476927302929242
vgrf_right_92,0.001609289412065884,0.00033107065512735876
vgrf_left_74,0.0015665957919388297,0.00042492626621331924
vgrf_left_73,0.0015627319419305508,0.00045293248624808587
vgrf_right_39,0.0015142203594597393,0.0003574998229837711
vgrf_right_45,0.001509117008578631,0.0004731810571184643
vgrf_right_24,0.0014670101743886165,0.0005543465435979444
vgrf_right_72,0.001465754418499099,0.0004638007357926172
vgrf_left_25,0.0014651301521149795,0.000580083530933126
vgrf_right_26,0.0014631702272446478,0.0003082343025227581
vgrf_left_56,0.001462531950095225,0.000308720053979656
vgrf_left_53,0.0014606412599865726,0.0005991054275546639
vgrf_right_49,0.001459374395881574,0.00021901824385701812
vgrf_right_37,0.0014178818208087974,0.000543667000378361
ap_braking_impulse_sym,0.0014129446058763983,0.001154217410308317
vgrf_left_54,0.001411500827074663,0.00035878382481045593
vgrf_right_48,0.001363638275459711,0.0002451645540868855
vgrf_left_51,0.0013138757856577588,0.0002492609845008194
vgrf_left_49,0.0012672787327826507,0.00018315458423963295
vgrf_left_47,0.0012666434001543214,0.0002850616666638046
vgrf_left_50,0.0012647389729235404,0.00035756803830311047
vgrf_right_33,0.0012226348646111162,0.0003474515174894539
vgrf_right_38,0.001221342974044548,0.00031025171900390984
vgrf_left_26,0.0012213363572324942,0.0003456277371324593
vgrf_right_71,0.0012206852753566145,0.00040689647586287045
vgrf_right_27,0.0012187822735977294,0.00021830557567491281
vgrf_right_51,0.0012156228793936297,0.00015136821210083844
vgrf_right_56,0.0011722016734667217,0.00018368550960323873
vgrf_right_3,0.0011709420133939163,0.0003599614396912551
vgrf_right_53,0.0011696446279879868,0.00047177659079132166
vgrf_left_55,0.001167755826549266,0.00039042721832237254
vgrf_right_50,0.0011658757490679906,0.00039059407031285777
vgrf_right_58,0.0011217988231541742,0.0004260699362818314
vgrf_right_54,0.001120528560588241,0.00042541278041984074
vgrf_left_46,0.0011198873867541924,0.0001946220234265595
vgrf_left_95,0.0011198859320909137,0.00024840451596672044
vgrf_left_43,0.0011198852334293407,0.00029140470485338957
vgrf_right_52,0.0011192627597341742,0.00036268780500321404
vgrf_right_28,0.0010745664710826385,0.00012035496138341237
vgrf_right_94,0.0010720269818644823,0.0002496522349554915
vgrf_left_45,0.0010695024137888699,0.00024938706749039647
vgrf_right_34,0.001027986143101356,0.00044727932247893177
vgrf_left_27,0.0010260744002656308,0.00035924792111445016
vgrf_left_72,0.0010248015520717413,0.00024018177980352902
vgrf_left_58,0.001023531959520696,0.0001834863210081921
vgrf_left_38,0.0010235283346182289,0.0003233289975322043
vgrf_left_59,0.0010228915590577924,0.00028365314967641474
vgrf_left_52,0.0010216322190814697,0.000283326760364598
vgrf_left_48,0.001019742347896435,0.00038860172039745374
vgrf_right_35,0.000977570557040397,0.00026621874522225194
vgrf_right_55,0.000975034087008586,0.00026564028043854563
vgrf_left_57,0.0009750285967894623,0.00048813615343835405
vgrf_right_59,0.0009750227838256186,0.000510756252166639
vgrf_right_95,0.0009731375434524958,0.00015437166831483044
vgrf_right_32,0.000929715273515086,0.00032391661757045966
vgrf_right_70,0.0009278035072115554,0.00018316295008360812
vgrf_peak_max,0.0009271830631945033,0.00076299617399073
vgrf_left_39,0.0009240007072614631,0.0003890841562310473
vgrf_left_44,0.0009227543940163007,0.0003233015170082801
vgrf_left_42,0.0008748780126941469,0.0003299442880587219
vgrf_right_31,0.0008314561294013867,0.0005038269203109909
vgrf_right_30,0.000830836882428887,0.0003340959562619689
vgrf_right_69,0.000830817893545377,0.00025042453525180513
vgrf_right_36,0.0008308043539967391,0.00011879429423806603
vgrf_right_57,0.0008301941977051141,0.00029542216066955843
vgrf_left_71,0.0008295471452443248,0.00024842671337837574
vgrf_left_37,0.0008276361480454852,0.0002909886089742296
