,precision,recall,f1-score,support
Ankle,0.5143110716662969,0.40939597315436244,0.45589536827613336,5662.0
Calcaneus,0.6362098138747885,0.43899591360186807,0.5195164075993092,3426.0
Hip,0.3401201602136182,0.5247167868177137,0.41271769947347103,3884.0
Knee,0.5015750787539377,0.511329170383586,0.506405159466384,5605.0
accuracy,0.469720622274856,0.469720622274856,0.469720622274856,0.469720622274856
macro avg,0.4980540311271603,0.4711094609893826,0.47363365870382446,18577.0
weighted avg,0.49653007099074725,0.469720622274856,0.4738407305366175,18577.0
