true_label,Ankle,Calcaneus,Healthy,Hip,Knee
Ankle,4273,4252,1642,5169,3585
Calcaneus,1488,5305,736,3338,1062
Healthy,21,26,1715,50,14
Hip,1964,1496,1190,4564,2163
Knee,3004,1383,1742,5341,6569
