true_label,Ankle,Calcaneus,Healthy,Hip,Knee
Ankle,5483,2835,2039,5629,2935
Calcaneus,2325,4016,870,3825,893
Healthy,36,0,1737,44,9
Hip,2032,618,1120,5860,1747
Knee,3047,1011,1784,6826,5371
