true_label,Ankle,Calcaneus,Healthy,Hip,Knee
Ankle,4498,3501,4462,2833,3627
Calcaneus,2448,2381,3053,1720,2327
Healthy,143,185,1320,85,93
Hip,1742,1921,2752,1984,2978
Knee,3191,3156,3738,3607,4347
