true_label,Ankle,Calcaneus,Healthy,Hip,Knee
Ankle,7202,2012,3881,2130,3696
Calcaneus,3635,1538,2763,1294,2699
Healthy,278,104,1293,88,63
Hip,2762,1196,2600,1518,3301
Knee,5145,1716,3540,2763,4875
