true_label,Ankle,Calcaneus,Healthy,Hip,Knee
Ankle,3574,3861,2962,4990,3534
Calcaneus,1332,4934,1493,3190,980
Healthy,21,22,1736,47,0
Hip,1724,1237,2248,4465,1703
Knee,2821,1116,3327,5122,5653
