true_label,Ankle,Calcaneus,Healthy,Hip,Knee
Ankle,18921,0,0,0,0
Calcaneus,11929,0,0,0,0
Healthy,1826,0,0,0,0
Hip,11377,0,0,0,0
Knee,18039,0,0,0,0
