Type,Feature,F1_Drop
CNN Waveform,20-60% (Mid/Terminal),0.1382392474663059
CNN Waveform,60-100% (Pre/Swing),0.06884957023461258
CNN Waveform,0-20% (Initial/Loading),0.03511181086306592
RF Scalar,cop_ap_range_aff,0.0073967943982056195
RF Scalar,loading_rate_asym,0.006112364476894783
RF Scalar,vgrf_peak_unaff,0.003476987480943272
RF Scalar,vgrf_peak_aff,0.0014127828653640595
RF Scalar,push_off_index,0.0011976600794694203
RF Scalar,walking_speed,0.0
