true_label,Ankle,Calcaneus,Healthy,Hip,Knee
Ankle,1181,1085,416,894,560
Calcaneus,607,1435,156,611,278
Healthy,60,112,983,241,132
Hip,265,583,384,822,340
Knee,670,590,1033,789,779
