true_label,Ankle,Calcaneus,Healthy,Hip,Knee
Ankle,1387,1123,132,725,769
Calcaneus,576,1730,36,503,242
Healthy,70,32,1265,95,66
Hip,268,790,35,926,375
Knee,549,974,189,788,1361
