label,feature,n,mean,std,ci95_low,ci95_high
Ankle,vgrf_peak_aff,21386,1.0972906633506132,0.07000577326117335,1.0963523991478785,1.0982289275533479
Ankle,vgrf_peak_unaff,21386,1.0939568864396603,0.06709267261980974,1.0930576655604034,1.0948561073189171
Ankle,vgrf_peak_asym,21386,0.002885264783992206,0.07446244187197497,0.001887269327302598,0.0038832602406818142
Ankle,loading_rate_asym,21386,0.002992532978324024,0.07661435419302046,0.001965696153212867,0.00401936980343518
Ankle,ap_braking_impulse_asym,21386,-0.03402760870510399,0.37900260044174916,-0.039107255085284946,-0.028947962324923034
Ankle,ap_propulsion_impulse_asym,21386,0.040881717144715043,0.34690949585707404,0.03623220402045978,0.04553123026897031
Ankle,push_off_index,21386,4.056638279933739,0.9482945213146725,4.0439286024092915,4.069347957458186
Ankle,cop_ap_range_aff,21386,0.2637302124038724,0.023150613774525344,0.263419932391752,0.2640404924159928
Ankle,cop_ml_range_aff,21386,0.03530015603236353,0.01389733179006038,0.03511389469526644,0.035486417369460614
Ankle,cop_path_length_aff,21386,0.27940279493308323,0.024534238846971795,0.27907397065218315,0.2797316192139833
Ankle,cop_ap_range_asym,21386,0.003047948603681654,0.07323665168714263,0.0020663820070262184,0.00402951520033709
Ankle,cop_ml_range_asym,21386,-0.09329592272816752,0.4336720709975428,-0.09910828592319743,-0.0874835595331376
Ankle,walking_speed,21386,2.0,0.0,2.0,2.0
Ankle,age,21386,41.36392967361825,11.343091522645077,41.21190197321222,41.51595737402428
Ankle,height,15452,176.05410302873415,7.828524244682877,175.9306665220345,176.1775395354338
Ankle,weight,21386,850.8767698494343,172.75951558149907,848.5613312562887,853.1922084425798
Calcaneus,vgrf_peak_aff,13970,1.0941633584223276,0.06935219924382205,1.0930133047583501,1.095313412086305
Calcaneus,vgrf_peak_unaff,13970,1.1018272122366897,0.07281333090859086,1.1006197633178252,1.1030346611555542
Calcaneus,vgrf_peak_asym,13970,-0.006805704322276773,0.07575221976752321,-0.008061888247919551,-0.005549520396633994
Calcaneus,loading_rate_asym,13970,-0.007004951723030312,0.07789644736426928,-0.0082966929465083,-0.005713210499552325
Calcaneus,ap_braking_impulse_asym,13970,-0.02482915518496542,0.3790259981727158,-0.031114467585928243,-0.018543842784002597
Calcaneus,ap_propulsion_impulse_asym,13970,0.0023935106790998273,0.3478369983467858,-0.003374600769092952,0.008161622127292607
Calcaneus,push_off_index,13970,3.8072209621958657,0.8816343025876017,3.7926009967004037,3.8218409276913277
Calcaneus,cop_ap_range_aff,13970,0.2690447587795772,0.024167365439716332,0.26864399618696044,0.2694455213721939
Calcaneus,cop_ml_range_aff,13970,0.0351458986356443,0.013531427874876326,0.034921509670679585,0.03537028760060902
Calcaneus,cop_path_length_aff,13970,0.28712772332248143,0.026421717587907814,0.28668957725859495,0.2875658693863679
Calcaneus,cop_ap_range_asym,13970,-0.002050896825860529,0.07037091032145824,-0.003217843572107086,-0.0008839500796139718
Calcaneus,cop_ml_range_asym,13970,-0.074857629814256,0.4178295286821646,-0.08178641340898385,-0.06792884621952816
Calcaneus,walking_speed,13970,2.0,0.0,2.0,2.0
Calcaneus,age,13970,43.88367931281317,10.108545332093968,43.7160513251875,44.05130730043884
Calcaneus,height,7617,177.82105815938033,6.794101014596285,177.66847869246178,177.97363762629888
Calcaneus,weight,13970,824.7633715103794,144.75436324122134,822.3629388256566,827.1638041951023
Healthy,vgrf_peak_aff,7755,1.155126875942397,0.09750561248970326,1.152956700798473,1.157297051086321
Healthy,vgrf_peak_unaff,7755,1.1566648349453332,0.09642966355192419,1.1545186071166589,1.1588110627740076
Healthy,vgrf_peak_asym,7755,-0.0014235745576267314,0.04393787638327577,-0.0024014965948208795,-0.00044565252043258325
Healthy,loading_rate_asym,7755,-0.0014600275518730594,0.045280476395093416,-0.0024678317373813523,-0.00045222336636476673
Healthy,ap_braking_impulse_asym,7755,-0.009786434062721032,0.3300338570646486,-0.017131973001115238,-0.0024408951243268242
Healthy,ap_propulsion_impulse_asym,7755,-0.001660069334632351,0.2914703352114143,-0.008147302843717043,0.004827164174452342
Healthy,push_off_index,7755,4.813056001789093,1.2231162396007398,4.785833194880499,4.840278808697687
Healthy,cop_ap_range_aff,7755,0.2430228190736914,0.028361925866832647,0.24239156980528115,0.24365406834210163
Healthy,cop_ml_range_aff,7755,0.028117254672498492,0.01055773391826298,0.02788227197621526,0.028352237368781723
Healthy,cop_path_length_aff,7755,0.25477883915176586,0.029643656831116895,0.254119062492892,0.2554386158106397
Healthy,cop_ap_range_asym,7755,-0.0026945939828345966,0.05556573149718202,-0.003931316323939605,-0.001457871641729588
Healthy,cop_ml_range_asym,7755,-0.07995391454600943,0.40763410263389316,-0.08902659636158482,-0.07088123273043405
Healthy,walking_speed,7755,2.045390070921986,0.8110042983973743,2.027339608747991,2.0634405330959806
Healthy,age,7755,34.700838168923276,13.297560504337172,34.404875356686325,34.99680098116023
Healthy,height,7755,172.9808510638298,8.269566150695871,172.79679594686746,173.16490618079212
Healthy,weight,7755,724.3098646034816,151.39118488502612,720.9403622942541,727.6793669127092
Hip,vgrf_peak_aff,12748,1.0985049579501078,0.0677258323049971,1.0973292772338312,1.0996806386663844
Hip,vgrf_peak_unaff,12748,1.1026762172399875,0.068355069243406,1.101489613339613,1.103862821140362
Hip,vgrf_peak_asym,12748,-0.0037565568985215925,0.08218771869270412,-0.005183287478171487,-0.0023298263188716983
Hip,loading_rate_asym,12748,-0.0038663091457291784,0.08459159115510043,-0.005334769541052659,-0.002397848750405698
