model,balanced_accuracy,macro_f1,support,used_sklearn,optimal_threshold,feature_set
dummy,0.4726177437020811,0.4698473130546674,3652,True,0.01,covariate-only
logistic_regression,0.6919496166484118,0.6918985863780704,3652,True,0.51,covariate-only
random_forest,0.731106243154436,0.7308531013406823,3652,True,0.65,covariate-only
dummy,0.4726177437020811,0.4698473130546674,3652,True,0.01,gait-only
logistic_regression,0.7593099671412924,0.7592734171278624,3652,True,0.49,gait-only
random_forest,0.803395399780942,0.8032296282688678,3652,True,0.52,gait-only
dummy,0.4726177437020811,0.4698473130546674,3652,True,0.01,gait+covariate
logistic_regression,0.7820372398685651,0.7814456713192477,3652,True,0.5700000000000001,gait+covariate
random_forest,0.8554216867469879,0.8554206027080744,3652,True,0.55,gait+covariate
