model,balanced_accuracy,macro_f1,support,used_sklearn,optimal_threshold,feature_set
dummy,0.45776918117343646,0.44913300267796524,15510,True,0.01,covariate-only
logistic_regression,0.734622823984526,0.7346134864782212,15510,True,0.5,covariate-only
random_forest,0.8821405544809799,0.881908188221761,15510,True,0.52,covariate-only
dummy,0.45776918117343646,0.44913300267796524,15510,True,0.01,gait-only
logistic_regression,0.7512572533849129,0.7512418621536835,15510,True,0.51,gait-only
random_forest,0.8064474532559639,0.8064474403825035,15510,True,0.51,gait-only
dummy,0.45776918117343646,0.44913300267796524,15510,True,0.01,gait+covariate
logistic_regression,0.8106382978723404,0.810636250420944,15510,True,0.5,gait+covariate
random_forest,0.9148291424887169,0.9147855005399982,15510,True,0.53,gait+covariate
