model,balanced_accuracy,macro_f1,support,used_sklearn,feature_set
dummy,0.25,0.11947036761084522,60266,True,covariate-only
logistic_regression,0.3593969813642894,0.33890398921590387,60266,True,covariate-only
random_forest,0.35724926768489473,0.3538800728033923,60266,True,covariate-only
dummy,0.25,0.11947036761084522,60266,True,gait-only
logistic_regression,0.2991519445493275,0.29546567302839855,60266,True,gait-only
random_forest,0.3092838310232863,0.3114002485529846,60266,True,gait-only
dummy,0.25,0.11947036761084522,60266,True,gait+covariate
logistic_regression,0.3614612191746511,0.34954543460410586,60266,True,gait+covariate
random_forest,0.37424832719638845,0.37076539801726605,60266,True,gait+covariate
