feature,importance_mean,importance_std
loading_rate_asym,0.04216544898677175,0.00041610800008122425
vgrf_peak_asym,0.040739723491679855,0.002168911759156424
vgrf_peak_unaff,0.038705822175302294,0.0006867359391418131
loading_rate_max,0.021990668327883645,0.0008450382062982863
loading_rate_mean,0.021226275049383257,0.0005155402857163993
vgrf_peak_max,0.019637292413914154,0.0011542374555356392
vgrf_peak_aff,0.01777963007152521,0.0012554482462915704
vgrf_peak_mean,0.008500126936135244,0.0005727592455630255
loading_rate_sym,0.007965019258433782,0.0007065357111612396
vgrf_peak_diff,0.004616650818735768,0.0005643731902039964
