true_label,Ankle,Calcaneus,Healthy,Hip,Knee
Ankle,1420,1412,163,457,684
Calcaneus,641,1686,59,472,229
Healthy,87,71,1266,51,53
Hip,350,857,34,844,309
Knee,486,1248,230,612,1285
