true_label,Ankle,Calcaneus,Healthy,Hip,Knee
Ankle,1174,1261,598,597,506
Calcaneus,719,1278,256,626,208
Healthy,57,95,1008,223,145
Hip,440,709,371,609,265
Knee,710,858,953,478,862
